CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.308594 1556662531.2842
MEM 16.312500 1556662531.3867
MEM 25.304688 1556662531.4919
MEM 36.769531 1556662531.5963
MEM 47.195312 1556662531.6991
MEM 58.019531 1556662531.8009
MEM 70.941406 1556662531.9060
MEM 77.527344 1556662532.0087
MEM 127.082031 1556662532.1108
MEM 260.199219 1556662532.2118
MEM 236.007812 1556662532.3128
MEM 168.839844 1556662532.4158
MEM 108.726562 1556662532.5166
MEM 260.203125 1556662532.6191
MEM 246.304688 1556662532.7242
MEM 171.734375 1556662532.8250
MEM 107.617188 1556662532.9276
MEM 260.207031 1556662533.0324
MEM 209.023438 1556662533.1344
MEM 143.406250 1556662533.2394
MEM 107.621094 1556662533.3418
MEM 260.218750 1556662533.4453
MEM 202.828125 1556662533.5469
MEM 129.765625 1556662533.6492
MEM 189.656250 1556662533.7494
MEM 245.156250 1556662533.8544
MEM 162.964844 1556662533.9553
MEM 107.628906 1556662534.0557
MEM 260.218750 1556662534.1567
MEM 207.996094 1556662534.2617
MEM 138.644531 1556662534.3658
MEM 107.628906 1556662534.4711
MEM 260.218750 1556662534.5764
MEM 214.292969 1556662534.6784
MEM 149.125000 1556662534.7825
MEM 107.628906 1556662534.8834
MEM 260.218750 1556662534.9861
MEM 211.542969 1556662535.0878
MEM 142.062500 1556662535.1880
MEM 132.218750 1556662535.2885
MEM 260.218750 1556662535.3893
MEM 203.652344 1556662535.4928
MEM 132.246094 1556662535.5936
MEM 132.218750 1556662535.6951
MEM 260.218750 1556662535.7993
MEM 207.195312 1556662535.9033
MEM 137.976562 1556662536.0060
MEM 107.628906 1556662536.1113
MEM 260.218750 1556662536.2123
MEM 196.980469 1556662536.3159
MEM 120.843750 1556662536.4165
MEM 132.218750 1556662536.5219
MEM 259.078125 1556662536.6229
MEM 186.109375 1556662536.7262
MEM 110.515625 1556662536.8267
MEM 260.222656 1556662536.9284
MEM 234.078125 1556662537.0326
MEM 166.226562 1556662537.1342
MEM 107.632812 1556662537.2346
MEM 260.222656 1556662537.3384
MEM 221.128906 1556662537.4433
MEM 148.085938 1556662537.5451
MEM 107.597656 1556662537.6491
MEM 260.187500 1556662537.7543
MEM 204.343750 1556662537.8551
MEM 132.199219 1556662537.9556
MEM 132.187500 1556662538.0608
MEM 260.187500 1556662538.1617
MEM 193.503906 1556662538.2652
MEM 125.187500 1556662538.3659
MEM 132.187500 1556662538.4691
MEM 260.187500 1556662538.5743
MEM 200.566406 1556662538.6784
MEM 137.738281 1556662538.7825
MEM 107.597656 1556662538.8868
MEM 260.187500 1556662538.9920
MEM 220.257812 1556662539.0951
MEM 151.066406 1556662539.1992
MEM 107.597656 1556662539.3016
MEM 260.187500 1556662539.4037
MEM 203.992188 1556662539.5048
MEM 128.867188 1556662539.6053
MEM 132.191406 1556662539.7079
MEM 260.191406 1556662539.8118
MEM 196.601562 1556662539.9159
MEM 121.222656 1556662540.0166
MEM 132.199219 1556662540.1218
MEM 253.125000 1556662540.2239
MEM 183.964844 1556662540.3284
MEM 119.871094 1556662540.4326
MEM 145.636719 1556662540.5380
MEM 248.910156 1556662540.6396
MEM 172.476562 1556662540.7409
MEM 111.625000 1556662540.8445
MEM 260.199219 1556662540.9451
MEM 232.011719 1556662541.0453
MEM 164.539062 1556662541.1487
MEM 108.710938 1556662541.2496
MEM 260.199219 1556662541.3514
MEM 229.632812 1556662541.4532
MEM 166.152344 1556662541.5585
MEM 107.609375 1556662541.6618
MEM 260.199219 1556662541.7676
MEM 251.042969 1556662541.8708
MEM 187.511719 1556662541.9759
MEM 115.480469 1556662542.0772
MEM 260.199219 1556662542.1784
MEM 247.648438 1556662542.2825
MEM 181.339844 1556662542.3876
MEM 107.609375 1556662542.4885
MEM 260.199219 1556662542.5891
MEM 236.335938 1556662542.6919
MEM 168.347656 1556662542.7951
MEM 107.609375 1556662542.9001
MEM 260.199219 1556662543.0014
MEM 234.859375 1556662543.1067
MEM 171.617188 1556662543.2118
MEM 108.710938 1556662543.3141
MEM 260.199219 1556662543.4158
MEM 226.832031 1556662543.5161
MEM 157.351562 1556662543.6198
MEM 107.609375 1556662543.7221
MEM 260.199219 1556662543.8273
MEM 218.554688 1556662543.9285
MEM 147.316406 1556662544.0290
MEM 107.609375 1556662544.1327
MEM 260.199219 1556662544.2359
MEM 208.851562 1556662544.3366
MEM 144.921875 1556662544.4388
MEM 107.609375 1556662544.5425
MEM 260.199219 1556662544.6468
MEM 218.238281 1556662544.7493
MEM 156.941406 1556662544.8545
MEM 107.609375 1556662544.9560
MEM 260.199219 1556662545.0607
MEM 220.117188 1556662545.1615
MEM 157.824219 1556662545.2659
MEM 108.710938 1556662545.3667
MEM 260.199219 1556662545.4708
MEM 236.070312 1556662545.5760
MEM 169.816406 1556662545.6786
MEM 109.035156 1556662545.7826
MEM 260.199219 1556662545.8878
